TF	max_idx	max_cutoff	max_f1
EP300	41192	0.14693432489025293	0.31135739319882544
BCL11A	40510	0.14938202229604705	0.3113114388557959
ZSCAN29	38539	0.1535291517354495	0.3111410808854972
SIN3A	37202	0.15763188868770103	0.3109036997102231
NFYA	44675	0.1386356839612368	0.3108972917884388
TCF7	43491	0.14144352458977533	0.31024476215074676
ARID3A	42590	0.14363070177077603	0.31014032871732466
USF2	47627	0.13276307348135935	0.30968739264857437
POLR2AphosphoS2	44781	0.13856085133469598	0.30947931771635295
MTA2	38899	0.15235151743069195	0.3091956656954857
CEBPB	42515	0.14375908523636133	0.3088687377380934
TCF12	39735	0.15013016620010125	0.3088550479413424
MAFK	43170	0.1426610866330959	0.30864631222030453
ZNF687	42980	0.14272121676643418	0.30863932869874133
DPF2	43655	0.14061667835078354	0.3083724533977485
UBTF	47130	0.13344163625919345	0.3082473482935276
NR2C2	43087	0.14189669313441727	0.30819862845946605
BRCA1	42385	0.143478016187439	0.30778272704776044
NR2F1	43833	0.14039580445620894	0.3077620739173154
BACH1	47644	0.13212177873210743	0.30744341202914943
HDGF	43500	0.14111805571829591	0.3071373122060368
IKZF2	40218	0.14924377667145383	0.30666410846763875
NFE2	45982	0.13560212020642995	0.3063435516265705
POLR2AphosphoS5	42746	0.1419766308898423	0.3063348834344492
RAD51	45758	0.13575113784906667	0.3060056215325298
PKNOX1	42477	0.14331671287233794	0.3051973125337864
NR2C1	43431	0.1407097902151933	0.3051347569507818
JUNB	42078	0.14393813907511105	0.3048204745931172
BCLAF1	42090	0.14397012879812274	0.3044970873786408
ZBED1	41564	0.14491596008245697	0.3040272973438307
TAF1	47337	0.13236607177810633	0.304009420414728
REST	46524	0.13355739135899458	0.3034434641045394
EZH2	41471	0.1445245546809024	0.30342081334462107
USF1	46757	0.1328435066943994	0.3033158863870322
GATAD2B	43339	0.14051430577061644	0.30267369897259233
GABPA	41798	0.14339225765450414	0.30249399132253335
YBX1	44368	0.13767491581927255	0.30244195657074163
POLR2A	43836	0.13821525971078422	0.30223677032187674
BMI1	43737	0.1395249644588667	0.3022056369648979
SRF	45003	0.13611964675288674	0.30189632623944834
CBX3	47349	0.13160263328647853	0.30126051626611533
RBBP5	48790	0.1288775791640612	0.3005738073807381
SMAD5	45301	0.13571970751776577	0.29945274367697083
WHSC1	47326	0.13134113574017603	0.2988954799419732
KDM5A	46384	0.1329057329896292	0.2981485794131346
ASH2L	42451	0.14064711391972148	0.2981042361368408
CBX8	47661	0.13040594495780372	0.2975622302877883
KDM1A	47345	0.13092444147446566	0.2974423744868961
ETV6	48284	0.12917207265083194	0.2974010339211104
CTBP1	41224	0.14372938188167647	0.29678820400648337
CHD4	48129	0.1293934753601068	0.29635517202225503
NFXL1	46606	0.132640270571823	0.2956569671298848
HDAC2	42437	0.14066717209887455	0.29555174703166737
ATF2	47811	0.12984469259645293	0.29525453222838727
CHD7	41705	0.14205156003346098	0.294749664240872
IRF5	48680	0.12811659547809412	0.2942618101918364
ZBTB40	45725	0.13373993738774048	0.2940355311301486
MYC	45367	0.13348540275059828	0.29311772009696685
FOXK2	48882	0.1275937122757869	0.29256715956804424
